選択,基準日,方向,銘柄,エントリー時刻,クローズ時刻,保有時間,開始時,跨ぎフラグ,勝率_30日,勝率_90日,勝率_365日,勝率_平均,勝率重視ポイント,利益効率ポイント,時間効率ポイント,最大利益ポイント,勝率重視ポイントUS,利益効率ポイントUS,時間効率ポイントUS,最大利益ポイントUS,合計変動pips_30日,合計変動pips_90日,合計変動pips_365日,合計変動pips_平均,利益効率σ_30日,利益効率σ_90日,利益効率σ_365日,利益効率σ_平均,勝率重視スコア,利益効率スコア,時間効率スコア,最大利益スコア,変動値σ_pips_30日,変動値σ_pips_90日,変動値σ_pips_365日,変動値σ_pips_平均,平均スプレッドpips_30日,平均スプレッドpips_90日,平均スプレッドpips_365日,平均スプレッドpips_平均
FALSE,2025-07-20,Long,GBPJPY,12:15:00,12:39:00,24,12,0,85.71%,61.54%,49.03%,65.43%,,,,,,,,,109.8,130.5,-307.8,-22.5,3.35,1.59,-1.55,1.13,87.47,24.66,10.43,32.56,7.15,10.09,12.41,9.88,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,CHFJPY,12:20:00,12:38:00,18,12,0,85.71%,53.85%,45.17%,61.58%,,,,,,,,,84.1,56.1,-206.2,-22.0,4.04,0.93,-1.67,1.10,82.32,23.99,9.96,23.33,4.56,7.12,7.97,6.55,0.8,0.8,0.9,0.8
FALSE,2025-07-20,Long,GBPJPY,12:21:00,12:39:00,18,12,0,85.71%,58.46%,49.03%,64.40%,,,,,,,,,74.2,61.2,-317.6,-60.7,3.23,0.86,-1.87,0.74,86.1,16.14,7.41,17.36,5.00,8.72,10.55,8.09,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,CHFJPY,12:22:00,12:50:00,28,12,0,85.71%,55.38%,49.03%,63.38%,,,,,,,,,83.4,42.6,-285.1,-53.0,3.00,0.57,-1.72,0.61,84.73,13.41,5.45,19.88,6.04,8.65,10.51,8.40,0.8,0.8,0.9,0.8
FALSE,2025-07-20,Long,GBPJPY,12:23:00,12:39:00,16,12,0,85.71%,56.92%,49.81%,64.15%,,,,,,,,,63.8,10.4,-379.0,-101.6,3.17,0.16,-2.34,0.33,85.76,7.14,4.34,9.04,4.38,7.77,10.06,7.41,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,USDJPY,12:24:00,12:53:00,29,12,0,85.71%,61.54%,53.28%,66.84%,,,,,,,,,105.8,114.8,-105.6,38.3,3.08,1.44,-0.53,1.33,89.36,29.02,12.51,47.21,7.49,9.98,12.23,9.90,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,USDJPY,12:24:00,12:49:00,25,12,0,85.71%,61.54%,52.90%,66.72%,,,,,,,,,90.6,101.0,-38.4,51.1,3.01,1.31,-0.19,1.38,89.19,30.04,12.96,42.15,6.57,9.61,11.39,9.19,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,GBPJPY,12:24:00,12:42:00,18,12,0,85.71%,66.15%,48.26%,66.71%,,,,,,,,,76.2,42.3,-428.0,-103.2,3.02,0.64,-2.31,0.45,89.18,9.8,5.91,13.84,5.49,8.01,11.55,8.35,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,GBPJPY,12:24:00,12:41:00,17,12,0,85.71%,61.54%,49.81%,65.69%,,,,,,,,,75.4,44.3,-373.3,-84.5,3.25,0.62,-2.09,0.60,87.82,13,6.81,15.06,5.05,8.66,11.10,8.27,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,GBPJPY,12:24:00,12:46:00,22,12,0,85.71%,61.54%,49.81%,65.69%,,,,,,,,,73.5,31.8,-415.5,-103.4,2.52,0.47,-1.87,0.37,87.82,8.14,4.43,12.69,6.34,8.33,13.72,9.46,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,GBPJPY,12:24:00,12:44:00,20,12,0,85.71%,60.00%,48.26%,64.66%,,,,,,,,,86.0,61.2,-388.5,-80.4,3.00,0.85,-1.88,0.65,86.44,14.26,7.25,18.87,6.24,8.86,12.80,9.30,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,EURJPY,12:24:00,12:38:00,14,12,0,85.71%,60.00%,47.88%,64.53%,,,,,,,,,59.4,8.8,-216.3,-49.4,3.18,0.13,-1.77,0.51,86.27,11.14,7.01,12.77,4.06,6.32,7.67,6.02,0.4,0.4,0.4,0.4
FALSE,2025-07-20,Long,USDJPY,12:24:00,12:35:00,11,12,0,85.71%,52.31%,45.17%,61.07%,,,,,,,,,43.6,10.3,-153.8,-33.3,2.35,0.24,-1.34,0.42,81.64,9.06,8.45,12.1,4.03,5.67,7.18,5.62,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,USDJPY,12:25:00,12:41:00,16,12,0,85.71%,64.62%,52.90%,67.74%,,,,,,,,,110.3,127.0,-14.4,74.3,4.69,1.89,-0.06,2.17,90.56,47.36,25.33,52.74,5.11,8.37,10.18,7.89,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,USDJPY,12:25:00,12:42:00,17,12,0,85.71%,63.08%,53.28%,67.36%,,,,,,,,,105.9,112.9,-51.2,55.9,4.60,1.78,-0.29,2.03,90.05,44.26,21.91,48.48,5.00,7.86,10.84,7.90,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,CADJPY,12:25:00,12:45:00,20,12,0,85.71%,64.62%,51.74%,67.36%,,,,,,,,,56.6,74.5,-177.0,-15.3,4.10,1.75,-1.39,1.49,90.05,32.4,12.21,31.77,3.00,5.25,7.92,5.39,0.6,0.6,0.7,0.6
FALSE,2025-07-20,Long,USDJPY,12:25:00,12:45:00,20,12,0,85.71%,61.54%,54.44%,67.23%,,,,,,,,,107.8,121.7,24.7,84.7,4.35,1.74,0.16,2.08,89.88,45.41,20.11,52.34,5.39,8.70,11.23,8.44,0.2,0.2,0.2,0.2
